,id,nom,founded,symid,stadium_capacity,President,Manager
0,t2128,Angers,1919-01-01,ANR,18000,Said Chabane,Stéphane Moulin
1,t139,Bastia,1905-01-01,BAS,16480,Pierre-Marie Geronimi,Rui Almeida
2,t140,Bordeaux,1881-01-01,BOR,42115,Jean-Louis Triaud,Jocelyn Gourvennec
3,t1028,Caen,1913-01-01,CAE,21500,Jean-Francois Fortin,Patrice Garande
4,t2130,Dijon,1998-01-01,DIJ,15995,Olivier Delcourt,Olivier Dall'Oglio
5,t428,Guingamp,1912-01-01,GUI,18126,Bertrand Desplat,Antoine Kombouaré
6,t429,Lille,1944-01-01,LIL,50186,Michel Seydoux,Franck Passi
7,t694,Lorient,1926-01-01,LOR,18500,Loic Fery,Bernard Casoni
8,t143,Lyon,1950-01-01,LYN,59500,Jean-Michel Aulas,Bruno Génésio
9,t144,Marseille,1899-01-01,MAR,67354,Vincent Labrune,Rudi Garcia
10,t145,Metz,1919-01-01,MET,26304,Bernard Serin,Philippe Hinschberger
11,t146,Monaco,1924-01-01,MCO,18500,Dmitriy Rybolovlev,Leonardo Jardim
12,t147,Montpellier,1974-01-01,MTP,32900,Louis Nicollin,Jean-Louis Gasset
13,t148,Nancy,1967-01-01,NAC,20087,Jacques Rousselot,Pablo Correa
14,t430,Nantes,1943-01-01,NAN,38285,Waldemar Kita,Sérgio Conceição
15,t1395,Nice,1904-01-01,NIC,35624,Jean-Pierre Rivere,Lucien Favre
16,t149,Paris Saint-Germain,1970-01-01,PSG,48712,Nasser Al-Khelaifi,Unai Emery
17,t150,Rennes,1901-01-01,REN,29376,René Ruello,Christian Gourcuff
18,t152,St Etienne,1920-01-01,STE,42000,Roland Romeyer,Christophe Galtier
19,t427,Toulouse,1970-01-01,TOU,35470,Olivier Sadran,Pascal Dupraz
